uri,lcsh_topic,lcsh_t1,count
http://bnb.data.bl.uk/id/resource/005589390,Electronic data processing--Business--Case studies,Electronic data processing,69
http://bnb.data.bl.uk/id/resource/005589391,Programming languages,Programming languages,1
http://bnb.data.bl.uk/id/resource/005589392,Electronic data processing--Business,Electronic data processing,69
http://bnb.data.bl.uk/id/resource/005589393,Electronic data processing--Business,Electronic data processing,69
http://bnb.data.bl.uk/id/resource/005589397,Mathematical statistics,Mathematical statistics,63
http://bnb.data.bl.uk/id/resource/005589398,Electronic data processing,Electronic data processing,69
http://bnb.data.bl.uk/id/resource/005589399,"Finance, Personal","Finance, Personal",8
http://bnb.data.bl.uk/id/resource/005589400,Punched card systems,Punched card systems,3
http://bnb.data.bl.uk/id/resource/005589401,Management,Management,59
http://bnb.data.bl.uk/id/resource/005589402,Management,Management,59
http://bnb.data.bl.uk/id/resource/005589403,Information storage and retrieval systems,Information storage and retrieval systems,11
http://bnb.data.bl.uk/id/resource/005589404,"Psychology, Industrial","Psychology, Industrial",11
http://bnb.data.bl.uk/id/resource/005589405,Business--Data processing,Business,30
http://bnb.data.bl.uk/id/resource/005589406,Probabilities,Probabilities,63
http://bnb.data.bl.uk/id/resource/005589407,System theory,System theory,14
http://bnb.data.bl.uk/id/resource/005589411,Philosophy,Philosophy,90
http://bnb.data.bl.uk/id/resource/005589412,English drama,English drama,192
http://bnb.data.bl.uk/id/resource/005589413,Russian poetry--Translations into English,Russian poetry (Collections),161
http://bnb.data.bl.uk/id/resource/005589414,Composers--Austria--Biography,Composers,17
http://bnb.data.bl.uk/id/resource/005589416,Canada--Politics and government--20th century,Canada,25
http://bnb.data.bl.uk/id/resource/005589417,"Poets, English--20th century--Biography","Poets, English",23
http://bnb.data.bl.uk/id/resource/005589419,"Short stories, English","Short stories, English",79
http://bnb.data.bl.uk/id/resource/005589421,United States--Politics and government--1945-1953,United States,262
http://bnb.data.bl.uk/id/resource/005589423,Italian fiction,Italian fiction,1
http://bnb.data.bl.uk/id/resource/005589424,"Science fiction, American","Science fiction, American",15
http://bnb.data.bl.uk/id/resource/005589425,Children's stories,Children's stories,130
http://bnb.data.bl.uk/id/resource/005589426,"Science fiction, American","Science fiction, American",15
http://bnb.data.bl.uk/id/resource/005589427,"Short stories, English","Short stories, English",79
http://bnb.data.bl.uk/id/resource/005589428,Libretto,Libretto,2
http://bnb.data.bl.uk/id/resource/005589430,"Short stories, English","Short stories, English",79
http://bnb.data.bl.uk/id/resource/005589433,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589434,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589435,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589436,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589437,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589438,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589439,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589440,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589441,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589442,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589443,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589444,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589445,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589446,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589447,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589448,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589449,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589450,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589451,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589452,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589453,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589454,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589455,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589456,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589457,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589458,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589459,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589460,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589461,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589462,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589463,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589464,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589465,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589466,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589467,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589468,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589469,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589470,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589471,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589472,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589473,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589474,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589475,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589476,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589477,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589478,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589479,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589480,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589481,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589482,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589483,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589484,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589485,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589486,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589487,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589488,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589489,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589490,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589491,International law--Cases,International law,3176
http://bnb.data.bl.uk/id/resource/005589492,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589493,International law--Cases,International law,92
http://bnb.data.bl.uk/id/resource/005589495,Historians--Great Britain--Biography,Historians,4
http://bnb.data.bl.uk/id/resource/005589496,Mongolian language,Mongolian language,1
http://bnb.data.bl.uk/id/resource/005589497,Persian Gulf Region--Gazetteers,Persian Gulf Region,3
http://bnb.data.bl.uk/id/resource/005589498,Bantu languages,Bantu languages,2
http://bnb.data.bl.uk/id/resource/005589499,Bantu languages,Bantu languages,2
http://bnb.data.bl.uk/id/resource/005589500,French poetry,French poetry,7
http://bnb.data.bl.uk/id/resource/005589501,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589502,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589503,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589504,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589505,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589506,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589507,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589508,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589509,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589510,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589511,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589512,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589513,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589514,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589515,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589516,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589517,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589518,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589519,"Spanish drama--Classical period, 1500-1700",Spanish drama,22
http://bnb.data.bl.uk/id/resource/005589520,Rome (Italy)--Description and travel,Rome (Italy),2
http://bnb.data.bl.uk/id/resource/005589521,France--Antiquities,France,99
http://bnb.data.bl.uk/id/resource/005589522,France--Antiquities,France,99
http://bnb.data.bl.uk/id/resource/005589523,France--Antiquities,France,99
http://bnb.data.bl.uk/id/resource/005589524,France--Antiquities,France,99
http://bnb.data.bl.uk/id/resource/005589525,France--Antiquities,France,99
http://bnb.data.bl.uk/id/resource/005589527,Tropics,Tropics,2
http://bnb.data.bl.uk/id/resource/005589528,Population,Population,3176
http://bnb.data.bl.uk/id/resource/005589529,Great Britain--Population--History,Great Britain,3176
http://bnb.data.bl.uk/id/resource/005589530,Public health--Great Britain--History--19th century--Sources,Public health,3176
http://bnb.data.bl.uk/id/resource/005589531,Public health--Great Britain--History--Sources,Public health,27
http://bnb.data.bl.uk/id/resource/005589532,Labor unions--Great Britain--History--Sources,Labor unions,20
http://bnb.data.bl.uk/id/resource/005589533,Labor unions--Great Britain--History--Sources,Labor unions,20
http://bnb.data.bl.uk/id/resource/005589534,Labor unions--Great Britain--History--Sources,Labor unions,20
http://bnb.data.bl.uk/id/resource/005589535,Labor unions--Great Britain--History--Sources,Labor unions,20
http://bnb.data.bl.uk/id/resource/005589536,Wealth--England--History,Wealth,3176
http://bnb.data.bl.uk/id/resource/005589537,Inclosures,Inclosures,3176
http://bnb.data.bl.uk/id/resource/005589538,"Ireland--Population--History--Addresses, essays, lectures",Ireland,211
http://bnb.data.bl.uk/id/resource/005589539,Mortality--England,Mortality,417
http://bnb.data.bl.uk/id/resource/005589540,Statistics--History,Statistics,45
http://bnb.data.bl.uk/id/resource/005589541,Dublin (Ireland)--Population--History--Sources,Dublin (Ireland),29
http://bnb.data.bl.uk/id/resource/005589542,Mortality--Great Britain,Mortality,3176
http://bnb.data.bl.uk/id/resource/005589543,Upper classes--Great Britain--History,Upper classes,3176
http://bnb.data.bl.uk/id/resource/005589544,"Paleography, Greek","Paleography, Greek",1
http://bnb.data.bl.uk/id/resource/005589545,"Theology, Doctrinal--History","Theology, Doctrinal",40
http://bnb.data.bl.uk/id/resource/005589546,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589547,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589548,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589549,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589550,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589551,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589552,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589553,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589554,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589555,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589556,Bio-bibliography,Bio-bibliography,11
http://bnb.data.bl.uk/id/resource/005589557,"Manuscripts, Ethiopic--Catalogs","Manuscripts, Ethiopic",4
http://bnb.data.bl.uk/id/resource/005589558,"Manuscripts, Ethiopic--Catalogs","Manuscripts, Ethiopic",4
http://bnb.data.bl.uk/id/resource/005589559,Judaism,Judaism,22
http://bnb.data.bl.uk/id/resource/005589560,"Jews--Political and social conditions--Addresses, essays, lectures",Jews,40
http://bnb.data.bl.uk/id/resource/005589561,Catholic Church--Ceremonies and practices,Catholic Church,85
http://bnb.data.bl.uk/id/resource/005589564,Religious law and legislation--Russia (1917- R.S.F.S.R.),Religious law and legislation,1
http://bnb.data.bl.uk/id/resource/005589566,Puritans,Puritans,7
http://bnb.data.bl.uk/id/resource/005589567,Philosophy,Philosophy,90
http://bnb.data.bl.uk/id/resource/005589568,Philosophy,Philosophy,90
http://bnb.data.bl.uk/id/resource/005589569,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589570,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589571,Coke--Testing,Coke,23
http://bnb.data.bl.uk/id/resource/005589572,Traffic signs and signals--Contracts and specifications,Traffic signs and signals,6
http://bnb.data.bl.uk/id/resource/005589573,Fire extinction,Fire extinction,19
http://bnb.data.bl.uk/id/resource/005589574,Electric apparatus and appliances,Electric apparatus and appliances,31
http://bnb.data.bl.uk/id/resource/005589575,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589576,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589577,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589578,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589579,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589580,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589581,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589582,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589583,Materials handling--Dictionaries,Materials handling,15
http://bnb.data.bl.uk/id/resource/005589584,Electric apparatus and appliances,Electric apparatus and appliances,31
http://bnb.data.bl.uk/id/resource/005589585,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589586,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589587,House furnishings,House furnishings,1
http://bnb.data.bl.uk/id/resource/005589588,Electronic apparatus and appliances--Specifications,Electronic apparatus and appliances,84
http://bnb.data.bl.uk/id/resource/005589589,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589590,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589591,Fire prevention--Dictionaries,Fire prevention,19
http://bnb.data.bl.uk/id/resource/005589592,Electrical engineering--Notation,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589593,Water--Analysis,Water,44
http://bnb.data.bl.uk/id/resource/005589594,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589595,Electronic apparatus and appliances--Reliability,Electronic apparatus and appliances,84
http://bnb.data.bl.uk/id/resource/005589596,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589597,Flues,Flues,4
http://bnb.data.bl.uk/id/resource/005589598,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589599,Flues,Flues,4
http://bnb.data.bl.uk/id/resource/005589600,Punched card systems,Punched card systems,3
http://bnb.data.bl.uk/id/resource/005589601,Road machinery--Standards,Road machinery,1
http://bnb.data.bl.uk/id/resource/005589602,Punched card systems,Punched card systems,3
http://bnb.data.bl.uk/id/resource/005589603,"Flooring, Wooden","Flooring, Wooden",1
http://bnb.data.bl.uk/id/resource/005589604,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589605,Thermometers and thermometry,Thermometers and thermometry,1
http://bnb.data.bl.uk/id/resource/005589606,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589607,Coke--Testing,Coke,23
http://bnb.data.bl.uk/id/resource/005589608,Steel--Specifications,Steel,29
http://bnb.data.bl.uk/id/resource/005589609,Ventilation,Ventilation,15
http://bnb.data.bl.uk/id/resource/005589610,Joinery,Joinery,6
http://bnb.data.bl.uk/id/resource/005589611,Joinery,Joinery,6
http://bnb.data.bl.uk/id/resource/005589612,"Roofing, Tile","Roofing, Tile",1
http://bnb.data.bl.uk/id/resource/005589613,Windows--Standards,Windows,13
http://bnb.data.bl.uk/id/resource/005589614,Measuring instruments--Standards,Measuring instruments,17
http://bnb.data.bl.uk/id/resource/005589615,Electric conductors,Electric conductors,4
http://bnb.data.bl.uk/id/resource/005589616,Electric conductors,Electric conductors,4
http://bnb.data.bl.uk/id/resource/005589617,Gas-meters,Gas-meters,5
http://bnb.data.bl.uk/id/resource/005589618,Electric conductors,Electric conductors,4
http://bnb.data.bl.uk/id/resource/005589619,Metal-cutting tools--Standards,Metal-cutting tools,2
http://bnb.data.bl.uk/id/resource/005589620,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589621,Railroads--Curves and turnouts,Railroads,137
http://bnb.data.bl.uk/id/resource/005589622,Railroads--Curves and turnouts,Railroads,137
http://bnb.data.bl.uk/id/resource/005589623,"Machine-tools--Charts, diagrams, etc.",Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589624,"Scaffolding, Metal","Scaffolding, Metal",1
http://bnb.data.bl.uk/id/resource/005589625,Conveying machinery,Conveying machinery,14
http://bnb.data.bl.uk/id/resource/005589626,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589627,Radio--Interference,Radio,16
http://bnb.data.bl.uk/id/resource/005589628,Water--Analysis,Water,44
http://bnb.data.bl.uk/id/resource/005589629,Water--Analysis,Water,44
http://bnb.data.bl.uk/id/resource/005589630,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589631,Radio--Interference,Radio,16
http://bnb.data.bl.uk/id/resource/005589632,"Tubes, Copper","Tubes, Copper",4
http://bnb.data.bl.uk/id/resource/005589633,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589634,Electric light fixtures,Electric light fixtures,7
http://bnb.data.bl.uk/id/resource/005589635,"Tubes, Copper","Tubes, Copper",4
http://bnb.data.bl.uk/id/resource/005589636,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589637,Flues,Flues,4
http://bnb.data.bl.uk/id/resource/005589638,"Household appliances, Electric--Standards","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589639,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589640,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589641,Flues,Flues,4
http://bnb.data.bl.uk/id/resource/005589642,Electric machinery--Standards,Electric machinery,16
http://bnb.data.bl.uk/id/resource/005589643,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589644,Pumping machinery--Specifications,Pumping machinery,3
http://bnb.data.bl.uk/id/resource/005589645,Data tapes,Data tapes,2
http://bnb.data.bl.uk/id/resource/005589646,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589647,Pumping machinery--Specifications,Pumping machinery,3
http://bnb.data.bl.uk/id/resource/005589648,Plastic foams,Plastic foams,3
http://bnb.data.bl.uk/id/resource/005589649,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589650,Fences,Fences,14
http://bnb.data.bl.uk/id/resource/005589651,Metal windows,Metal windows,1
http://bnb.data.bl.uk/id/resource/005589652,Electric switchgear--Standards,Electric switchgear,17
http://bnb.data.bl.uk/id/resource/005589653,Mining engineering--Dictionaries,Mining engineering,4
http://bnb.data.bl.uk/id/resource/005589654,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589655,"Sewers, Concrete","Sewers, Concrete",3
http://bnb.data.bl.uk/id/resource/005589656,Electricity in mining,Electricity in mining,3
http://bnb.data.bl.uk/id/resource/005589657,Photography--Films--Testing,Photography,26
http://bnb.data.bl.uk/id/resource/005589658,Electric light fixtures,Electric light fixtures,7
http://bnb.data.bl.uk/id/resource/005589659,Architectural design,Architectural design,14
http://bnb.data.bl.uk/id/resource/005589660,Zinc--Analysis,Zinc alloys,8
http://bnb.data.bl.uk/id/resource/005589661,Straw,Straw,31
http://bnb.data.bl.uk/id/resource/005589662,Electronic data processing,Electronic data processing,69
http://bnb.data.bl.uk/id/resource/005589663,Vulcanization,Vulcanization,24
http://bnb.data.bl.uk/id/resource/005589664,"Screw-threads, Standard","Screw-threads, Standard",1
http://bnb.data.bl.uk/id/resource/005589665,Electric machinery--Standards,Electric machinery,16
http://bnb.data.bl.uk/id/resource/005589666,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589667,Asbestos cement--Standards,Asbestos cement,4
http://bnb.data.bl.uk/id/resource/005589668,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589669,Screwdrivers,Screwdrivers,5
http://bnb.data.bl.uk/id/resource/005589670,Ultrasonic flaw detection,Ultrasonic flaw detection,1
http://bnb.data.bl.uk/id/resource/005589671,Data tapes,Data tapes,2
http://bnb.data.bl.uk/id/resource/005589672,"Stoves, Gas--Standards","Stoves, Gas",1
http://bnb.data.bl.uk/id/resource/005589673,Keys and keyways (Steelwork),Keys and keyways (Steelwork),1
http://bnb.data.bl.uk/id/resource/005589674,Labels,Labels,2
http://bnb.data.bl.uk/id/resource/005589675,"Household appliances, Electric","Household appliances, Electric",57
http://bnb.data.bl.uk/id/resource/005589676,Metal-cutting tools--Standards,Metal-cutting tools,2
http://bnb.data.bl.uk/id/resource/005589677,Electric light fixtures,Electric light fixtures,7
http://bnb.data.bl.uk/id/resource/005589678,Notched bar testing,Notched bar testing,3
http://bnb.data.bl.uk/id/resource/005589679,Oil burners,Oil burners,8
http://bnb.data.bl.uk/id/resource/005589680,Electric light fixtures,Electric light fixtures,7
http://bnb.data.bl.uk/id/resource/005589681,Drilling and boring machinery--Standards,Drilling and boring machinery,2
http://bnb.data.bl.uk/id/resource/005589682,Notched bar testing,Notched bar testing,3
http://bnb.data.bl.uk/id/resource/005589683,Oil burners,Oil burners,8
http://bnb.data.bl.uk/id/resource/005589684,Floor coverings,Floor coverings,6
http://bnb.data.bl.uk/id/resource/005589685,Slag,Slag,23
http://bnb.data.bl.uk/id/resource/005589686,Windows--Standards,Windows,13
http://bnb.data.bl.uk/id/resource/005589687,Notched bar testing,Notched bar testing,3
http://bnb.data.bl.uk/id/resource/005589688,Oil burners,Oil burners,8
http://bnb.data.bl.uk/id/resource/005589689,"Steel, Structural","Steel, Structural",9
http://bnb.data.bl.uk/id/resource/005589690,Engineering--Tools and implements,Engineering,50
http://bnb.data.bl.uk/id/resource/005589691,Technical manuals,Technical manuals,2
http://bnb.data.bl.uk/id/resource/005589692,Twine,Twine,3
http://bnb.data.bl.uk/id/resource/005589693,Kitchens,Kitchens,3
http://bnb.data.bl.uk/id/resource/005589694,Engineering--Tools and implements,Engineering,50
http://bnb.data.bl.uk/id/resource/005589695,"Tires, Rubber","Tires, Rubber",1
http://bnb.data.bl.uk/id/resource/005589696,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589697,Zinc--Analysis,Zinc alloys,8
http://bnb.data.bl.uk/id/resource/005589698,Calibration,Calibration,2
http://bnb.data.bl.uk/id/resource/005589699,Woodworking machinery--Standards,Woodworking machinery,3
http://bnb.data.bl.uk/id/resource/005589700,Optical character recognition,Optical character recognition,3
http://bnb.data.bl.uk/id/resource/005589701,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589702,Zinc--Analysis,Zinc alloys,8
http://bnb.data.bl.uk/id/resource/005589703,Optical character recognition,Optical character recognition,3
http://bnb.data.bl.uk/id/resource/005589704,Milk--Denisty,Milk,9
http://bnb.data.bl.uk/id/resource/005589705,Surfaces (Technology),Surfaces (Technology),9
http://bnb.data.bl.uk/id/resource/005589706,Girders--Standards,Girders,6
http://bnb.data.bl.uk/id/resource/005589707,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589708,Hand-railing,Hand-railing,1
http://bnb.data.bl.uk/id/resource/005589709,"Tubes, Steel","Tubes, Steel",50
http://bnb.data.bl.uk/id/resource/005589710,Girders--Standards,Girders,6
http://bnb.data.bl.uk/id/resource/005589711,Traffic signs and signals--Contracts and specifications,Traffic signs and signals,6
http://bnb.data.bl.uk/id/resource/005589712,Water heaters,Water heaters,4
http://bnb.data.bl.uk/id/resource/005589713,Oil burners--Specifications,Oil burners,8
http://bnb.data.bl.uk/id/resource/005589714,Fences,Fences,14
http://bnb.data.bl.uk/id/resource/005589715,Steam-pipe coverings,Steam-pipe coverings,10
http://bnb.data.bl.uk/id/resource/005589716,Machine-tools--Standards,Machine-tools,38
http://bnb.data.bl.uk/id/resource/005589717,Water heaters,Water heaters,4
http://bnb.data.bl.uk/id/resource/005589718,"Schools--Furniture, equipment, etc.",Schools,20
http://bnb.data.bl.uk/id/resource/005589719,"Tubes, Steel","Tubes, Steel",3
http://bnb.data.bl.uk/id/resource/005589720,Insulating materials,Insulating materials,2
http://bnb.data.bl.uk/id/resource/005589721,Dairy barns,Dairy barns,1
http://bnb.data.bl.uk/id/resource/005589722,Cast-iron--Specifications,Cast-iron,1
http://bnb.data.bl.uk/id/resource/005589723,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589724,Urethane foam--Standards,Urethane foam,31
http://bnb.data.bl.uk/id/resource/005589725,Tractors--Apparatus and supplies,Tractors,2
http://bnb.data.bl.uk/id/resource/005589726,Agricultural machinery--Standards,Agricultural machinery,4
http://bnb.data.bl.uk/id/resource/005589727,Gymnasiums--Apparatus and equipment,Gymnasiums,8
http://bnb.data.bl.uk/id/resource/005589728,Magnesite,Magnesite,1
http://bnb.data.bl.uk/id/resource/005589729,Environmental testing,Environmental testing,84
http://bnb.data.bl.uk/id/resource/005589730,Electrical engineering--Terminology,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589731,"Flooring, Concrete","Flooring, Concrete",1
http://bnb.data.bl.uk/id/resource/005589732,Fire extinction,Fire extinction,19
http://bnb.data.bl.uk/id/resource/005589733,Gymnasiums--Apparatus and equipment,Gymnasiums,8
http://bnb.data.bl.uk/id/resource/005589734,Architectural design,Architectural design,14
http://bnb.data.bl.uk/id/resource/005589735,Kitchens,Kitchens,3
http://bnb.data.bl.uk/id/resource/005589736,Computer storage devices,Computer storage devices,2
http://bnb.data.bl.uk/id/resource/005589737,Furniture--Testing,Furniture,6
http://bnb.data.bl.uk/id/resource/005589738,Steel wire--Standards,Steel wire,4
http://bnb.data.bl.uk/id/resource/005589740,Electric wire--Standards,Electric wire,11
http://bnb.data.bl.uk/id/resource/005589741,Electrical engineering--Notation,Electrical engineering,54
http://bnb.data.bl.uk/id/resource/005589742,Electric wire--Standards,Electric wire,11
http://bnb.data.bl.uk/id/resource/005589743,Pipes,Pipes,70
